2016/06/10 02:13:08:114  -[VCPageViewController applicationDidBecomeActive:] [Line 397] --- call syncReadingStatusData
 Chapter =第三百零五章 王府甲士
, count = 308
2016/06/09 19:36:07:326  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零六章 青楼五轮
2016/06/09 19:36:07:326  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1052733
2016/06/09 19:36:07:327  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百零五章 王府甲士 word count:3535 match number:309
2016/06/09 19:36:07:327  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零六章 青楼五轮
2016/06/09 19:36:07:327  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百零六章 青楼五轮
, count = 309
2016/06/09 19:36:07:328  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零七章 三王聚首
2016/06/09 19:36:07:328  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1056135
2016/06/09 19:36:07:328  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百零六章 青楼五轮 word count:3402 match number:310
2016/06/09 19:36:07:328  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零七章 三王聚首
2016/06/09 19:36:07:328  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百零七章 三王聚首
, count = 310
2016/06/09 19:36:07:328  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零八章 嫪毐收徒
2016/06/09 19:36:07:329  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1059721
2016/06/09 19:36:07:329  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百零七章 三王聚首 word count:3586 match number:311
2016/06/09 19:36:07:329  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零八章 嫪毐收徒
2016/06/09 19:36:07:329  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百零八章 嫪毐收徒
, count = 311
2016/06/09 19:36:07:330  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零九章 为情挥剑
2016/06/09 19:36:07:330  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1063471
2016/06/09 19:36:07:330  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百零八章 嫪毐收徒 word count:3750 match number:312
2016/06/09 19:36:07:330  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百零九章 为情挥剑
2016/06/09 19:36:07:331  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百零九章 为情挥剑
, count = 312
2016/06/09 19:36:07:331  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十章 临危援手
2016/06/09 19:36:07:331  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1067076
2016/06/09 19:36:07:331  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百零九章 为情挥剑 word count:3605 match number:313
2016/06/09 19:36:07:332  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十章 临危援手
2016/06/09 19:36:07:332  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十章 临危援手
, count = 313
2016/06/09 19:36:07:332  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十一章 荒山故人
2016/06/09 19:36:07:332  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1070377
2016/06/09 19:36:07:333  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十章 临危援手 word count:3301 match number:314
2016/06/09 19:36:07:334  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十一章 荒山故人
2016/06/09 19:36:07:334  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十一章 荒山故人
, count = 314
2016/06/09 19:36:07:334  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十二章 六国密谋
2016/06/09 19:36:07:334  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1073740
2016/06/09 19:36:07:334  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十一章 荒山故人 word count:3363 match number:315
2016/06/09 19:36:07:335  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十二章 六国密谋
2016/06/09 19:36:07:335  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十二章 六国密谋
, count = 315
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十三章 再逢死士
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1077233
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十二章 六国密谋 word count:3493 match number:316
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十三章 再逢死士
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十三章 再逢死士
, count = 316
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十四章 惊闻噩耗
2016/06/09 19:36:07:337  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1080596
2016/06/09 19:36:07:338  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十三章 再逢死士 word count:3363 match number:317
2016/06/09 19:36:07:338  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十四章 惊闻噩耗
2016/06/09 19:36:07:338  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十四章 惊闻噩耗
, count = 317
2016/06/09 19:36:07:338  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十五章 当街刺杀
2016/06/09 19:36:07:338  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1083933
2016/06/09 19:36:07:338  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十四章 惊闻噩耗 word count:3337 match number:318
2016/06/09 19:36:07:339  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十五章 当街刺杀
2016/06/09 19:36:07:339  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十五章 当街刺杀
, count = 318
2016/06/09 19:36:07:340  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十六章 面临绝境
2016/06/09 19:36:07:340  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1087320
2016/06/09 19:36:07:340  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十五章 当街刺杀 word count:3387 match number:319
2016/06/09 19:36:07:340  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十六章 面临绝境
2016/06/09 19:36:07:341  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十六章 面临绝境
, count = 319
2016/06/09 19:36:07:341  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十七章 坠落雪渊
2016/06/09 19:36:07:342  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1090796
2016/06/09 19:36:07:342  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十六章 面临绝境 word count:3476 match number:320
2016/06/09 19:36:07:342  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十七章 坠落雪渊
2016/06/09 19:36:07:342  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十七章 坠落雪渊
, count = 320
2016/06/09 19:36:07:343  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十八章 寻觅星舟
2016/06/09 19:36:07:343  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1093913
2016/06/09 19:36:07:344  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十七章 坠落雪渊 word count:3117 match number:321
2016/06/09 19:36:07:344  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十八章 寻觅星舟
2016/06/09 19:36:07:345  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十八章 寻觅星舟
, count = 321
2016/06/09 19:36:07:345  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十九章 横插一手
2016/06/09 19:36:07:345  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1097408
2016/06/09 19:36:07:345  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十八章 寻觅星舟 word count:3495 match number:322
2016/06/09 19:36:07:345  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百一十九章 横插一手
2016/06/09 19:36:07:345  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百一十九章 横插一手
, count = 322
2016/06/09 19:36:07:346  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十章 杀人夺宝
2016/06/09 19:36:07:346  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1100881
2016/06/09 19:36:07:346  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百一十九章 横插一手 word count:3473 match number:323
2016/06/09 19:36:07:346  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十章 杀人夺宝
2016/06/09 19:36:07:346  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十章 杀人夺宝
, count = 323
2016/06/09 19:36:07:346  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十一章 抵达雪渊
2016/06/09 19:36:07:347  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1104189
2016/06/09 19:36:07:347  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十章 杀人夺宝 word count:3308 match number:324
2016/06/09 19:36:07:347  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十一章 抵达雪渊
2016/06/09 19:36:07:347  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十一章 抵达雪渊
, count = 324
2016/06/09 19:36:07:348  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十二章 三大天仙
2016/06/09 19:36:07:348  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1107708
2016/06/09 19:36:07:348  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十一章 抵达雪渊 word count:3519 match number:325
2016/06/09 19:36:07:349  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十二章 三大天仙
2016/06/09 19:36:07:349  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十二章 三大天仙
, count = 325
2016/06/09 19:36:07:349  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十三章 疯的女人
2016/06/09 19:36:07:349  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1110994
2016/06/09 19:36:07:350  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十二章 三大天仙 word count:3286 match number:326
2016/06/09 19:36:07:350  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十三章 疯的女人
2016/06/09 19:36:07:351  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十三章 疯的女人
, count = 326
2016/06/09 19:36:07:351  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十四章 穷途末路
2016/06/09 19:36:07:351  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1114553
2016/06/09 19:36:07:352  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十三章 疯的女人 word count:3559 match number:327
2016/06/09 19:36:07:352  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十四章 穷途末路
2016/06/09 19:36:07:352  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十四章 穷途末路
, count = 327
2016/06/09 19:36:07:352  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十五章 绝处逢生
2016/06/09 19:36:07:352  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1117896
2016/06/09 19:36:07:353  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十四章 穷途末路 word count:3343 match number:328
2016/06/09 19:36:07:353  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十五章 绝处逢生
2016/06/09 19:36:07:354  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十五章 绝处逢生
, count = 328
2016/06/09 19:36:07:354  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十六章 凶悍反击
2016/06/09 19:36:07:354  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1121160
2016/06/09 19:36:07:355  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十五章 绝处逢生 word count:3264 match number:329
2016/06/09 19:36:07:355  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十六章 凶悍反击
2016/06/09 19:36:07:355  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十六章 凶悍反击
, count = 329
2016/06/09 19:36:07:355  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十七章 藏身飞雪
2016/06/09 19:36:07:355  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1124536
2016/06/09 19:36:07:355  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十六章 凶悍反击 word count:3376 match number:330
2016/06/09 19:36:07:356  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十七章 藏身飞雪
2016/06/09 19:36:07:356  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十七章 藏身飞雪
, count = 330
2016/06/09 19:36:07:357  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十八章 谋划报复
2016/06/09 19:36:07:357  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1127713
2016/06/09 19:36:07:358  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十七章 藏身飞雪 word count:3177 match number:331
2016/06/09 19:36:07:358  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十八章 谋划报复
2016/06/09 19:36:07:359  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十八章 谋划报复
, count = 331
2016/06/09 19:36:07:359  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十九章 仙人登门
2016/06/09 19:36:07:359  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1130938
2016/06/09 19:36:07:359  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十八章 谋划报复 word count:3225 match number:332
2016/06/09 19:36:07:360  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百二十九章 仙人登门
2016/06/09 19:36:07:360  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百二十九章 仙人登门
, count = 332
2016/06/09 19:36:07:361  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十章 迷擒天仙
2016/06/09 19:36:07:361  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1134395
2016/06/09 19:36:07:361  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百二十九章 仙人登门 word count:3457 match number:333
2016/06/09 19:36:07:361  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十章 迷擒天仙
2016/06/09 19:36:07:362  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十章 迷擒天仙
, count = 333
2016/06/09 19:36:07:362  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十一章 再擒一仙
2016/06/09 19:36:07:362  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1137691
2016/06/09 19:36:07:362  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十章 迷擒天仙 word count:3296 match number:334
2016/06/09 19:36:07:362  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十一章 再擒一仙
2016/06/09 19:36:07:363  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十一章 再擒一仙
, count = 334
2016/06/09 19:36:07:363  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十二章 生擒炫阳
2016/06/09 19:36:07:363  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1141074
2016/06/09 19:36:07:363  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十一章 再擒一仙 word count:3383 match number:335
2016/06/09 19:36:07:364  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十二章 生擒炫阳
2016/06/09 19:36:07:364  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十二章 生擒炫阳
, count = 335
2016/06/09 19:36:07:365  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十三章 灭其满门
2016/06/09 19:36:07:365  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1144426
2016/06/09 19:36:07:365  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十二章 生擒炫阳 word count:3352 match number:336
2016/06/09 19:36:07:365  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十三章 灭其满门
2016/06/09 19:36:07:366  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十三章 灭其满门
, count = 336
2016/06/09 19:36:07:366  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十四章 找上门去
2016/06/09 19:36:07:366  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1147611
2016/06/09 19:36:07:367  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十三章 灭其满门 word count:3185 match number:337
2016/06/09 19:36:07:367  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十四章 找上门去
2016/06/09 19:36:07:367  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十四章 找上门去
, count = 337
2016/06/09 19:36:07:368  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十五章 再逢赵括
2016/06/09 19:36:07:368  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1150761
2016/06/09 19:36:07:368  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十四章 找上门去 word count:3150 match number:338
2016/06/09 19:36:07:368  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十五章 再逢赵括
2016/06/09 19:36:07:369  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十五章 再逢赵括
, count = 338
2016/06/09 19:36:07:369  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十六章 幕后之人
2016/06/09 19:36:07:369  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1154192
2016/06/09 19:36:07:370  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十五章 再逢赵括 word count:3431 match number:339
2016/06/09 19:36:07:370  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十六章 幕后之人
2016/06/09 19:36:07:370  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十六章 幕后之人
, count = 339
2016/06/09 19:36:07:370  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十七章 反戈相向
2016/06/09 19:36:07:370  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1157600
2016/06/09 19:36:07:371  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十六章 幕后之人 word count:3408 match number:340
2016/06/09 19:36:07:371  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十七章 反戈相向
2016/06/09 19:36:07:372  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十七章 反戈相向
, count = 340
2016/06/09 19:36:07:372  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十八章 大破白霜
2016/06/09 19:36:07:372  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1160897
2016/06/09 19:36:07:372  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十七章 反戈相向 word count:3297 match number:341
2016/06/09 19:36:07:373  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十八章 大破白霜
2016/06/09 19:36:07:373  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十八章 大破白霜
, count = 341
2016/06/09 19:36:07:374  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十九章 巨阳之人
2016/06/09 19:36:07:374  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1164206
2016/06/09 19:36:07:374  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十八章 大破白霜 word count:3309 match number:342
2016/06/09 19:36:07:375  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百三十九章 巨阳之人
2016/06/09 19:36:07:375  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百三十九章 巨阳之人
, count = 342
2016/06/09 19:36:07:375  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十章 残酷手段
2016/06/09 19:36:07:375  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1167642
2016/06/09 19:36:07:376  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百三十九章 巨阳之人 word count:3436 match number:343
2016/06/09 19:36:07:377  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十章 残酷手段
2016/06/09 19:36:07:377  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十章 残酷手段
, count = 343
2016/06/09 19:36:07:377  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十一章 偷天手段
2016/06/09 19:36:07:377  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1171069
2016/06/09 19:36:07:377  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十章 残酷手段 word count:3427 match number:344
2016/06/09 19:36:07:378  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十一章 偷天手段
2016/06/09 19:36:07:378  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十一章 偷天手段
, count = 344
2016/06/09 19:36:07:378  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十二章 玉门夫子
2016/06/09 19:36:07:378  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1174482
2016/06/09 19:36:07:379  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十一章 偷天手段 word count:3413 match number:345
2016/06/09 19:36:07:379  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十二章 玉门夫子
2016/06/09 19:36:07:379  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十二章 玉门夫子
, count = 345
2016/06/09 19:36:07:379  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十三章 鄣乐之智
2016/06/09 19:36:07:379  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1177875
2016/06/09 19:36:07:380  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十二章 玉门夫子 word count:3393 match number:346
2016/06/09 19:36:07:380  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十三章 鄣乐之智
2016/06/09 19:36:07:381  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十三章 鄣乐之智
, count = 346
2016/06/09 19:36:07:381  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十四章 辣手紫璇
2016/06/09 19:36:07:381  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1181184
2016/06/09 19:36:07:381  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十三章 鄣乐之智 word count:3309 match number:347
2016/06/09 19:36:07:382  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十四章 辣手紫璇
2016/06/09 19:36:07:382  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十四章 辣手紫璇
, count = 347
2016/06/09 19:36:07:382  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十五章 五雷仙琴
2016/06/09 19:36:07:383  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1184409
2016/06/09 19:36:07:383  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十四章 辣手紫璇 word count:3225 match number:348
2016/06/09 19:36:07:383  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十五章 五雷仙琴
2016/06/09 19:36:07:383  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十五章 五雷仙琴
, count = 348
2016/06/09 19:36:07:384  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十六章 嫪毐之祸
2016/06/09 19:36:07:384  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1187932
2016/06/09 19:36:07:384  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十五章 五雷仙琴 word count:3523 match number:349
2016/06/09 19:36:07:384  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十六章 嫪毐之祸
2016/06/09 19:36:07:385  __23-[VCBook splitChapters]_block_invoke [Line 219] --- might have a problem splitting cuz the length of the chapter is less than 100.
 Chapter =第三百四十六章 嫪毐之祸
, count = 349
2016/06/09 19:36:07:385  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十七章 玉门合德
2016/06/09 19:36:07:386  __23-[VCBook splitChapters]_block_invoke [Line 232] --- word count = 1191326
2016/06/09 19:36:07:386  __23-[VCBook splitChapters]_block_invoke [Line 236] --- title:第三百四十六章 嫪毐之祸 word count:3394 match number:350
2016/06/09 19:36:07:386  __23-[VCBook splitChapters]_block_invoke [Line 188] --- 第三百四十七章 玉门合德
